"","Title","Date","Link","Category","Section","Preview"
"18","Nick Conrad: Flu vaccine",2019-04-29,"https://www.bbc.co.uk/programmes/p06kjmz8","Programmes","BBC Radio Norfolk","The NHS is trying to reassure patients that there is no shortage of flu vaccine."
"19","30 Animals That Made Us Smarter: Tardigrade and vaccine transport",2006-12-24,"https://www.bbc.co.uk/programmes/p077kqwr","Programmes","BBC World Service","A bizarre looking creature that may help us make vaccines last longer to move to helping us extend the shelf life of both blood and vaccines. This could extend"
"20","Health Check: HPB Vaccine and Chilean Contraception",NA,"https://www.bbc.co.uk/programmes/p03mn8cy","Programmes","BBC World Service","The introduction of vaccines for HPB infection, emergency contraception for 14"
"21","Health Check: New Vaccine for Deadly Infection",2007-12-02,"https://www.bbc.co.uk/programmes/p03mn8s0","Programmes","BBC World Service"," vaccine that is being trialled in developing countries this week. 

Also on the show"
"22","Health Check: Polio Vaccine and the Red Sea Attacks",2007-04-29,"https://www.bbc.co.uk/programmes/p03mn8ht","Programmes","BBC World Service","New Type 1 polio vaccine is three times as effective as the triple vaccine"
"23","Geoff Twentyman: New vaccine trialled",2014-05-27,"https://www.bbc.co.uk/programmes/p01z28gf","Programmes","BBC Radio Bristol","News of a a new vaccine trialled at Bristol Children's Hospital. Plus football"
"24","Vaccine package leak blamed for Glasgow Airport alert",2019-10-04,"https://www.bbc.co.uk/news/uk-scotland-glasgow-west-49932818","News","Glasgow & West Scotland"," Airport was caused by a leak from a package containing glass tubes of vaccine of vaccine remained intact. The incident was stood down and the area declared safe at 13 this afternoon. ""The package contained glass tubes with vaccines. These tubes have remained"
"25","Woman's Hour: Vaccinations - Your questions answered",2019-11-07,"https://www.bbc.co.uk/programmes/m0009ywt","Programmes","BBC Radio 4","Nine out of ten people get their children vaccinated. But even so, many people to get single vaccines? Does immunity wear off? What about side effects? Is the aluminium in vaccines dangerous? Marnie Chesterton asks Prof Helen Bedford, Prof Adam"
"26","DR Congo to introduce second Ebola vaccine",2019-09-21,"https://www.bbc.co.uk/news/world-africa-49782070","News","Africa"," Ebola vaccine to help control an outbreak that has killed more than 2,100 people proved effective. But DR Congo health officials say the vaccine, developed by Johnson to 2016, killing more than 11,000 people. Why is a new Ebola vaccine so controversial"
"27","BBC Somerset Breakfast: Flu vaccine and migrant workers in Somerset",2011-01-07,"https://www.bbc.co.uk/programmes/p00cv3b8","Programmes","BBC Somerset"," communities in Somerset. Stocks of the seasonal flu vaccine are running low in some parts"
"28","DR Congo: Vaccine campaign for world's largest measles outbreak",2019-09-26,"https://www.bbc.co.uk/news/world-africa-49836280","News","Africa","More than 800,000 children are to be targeted for vaccination in the Democratic to every part of the country. Lack of routine access to vaccinations and healthcare has. Insecurity The campaign aims to vaccinate around 825,000 children in 24 regions, over"
"29","Suspected mumps outbreak at Nottinghamshire school",2019-11-18,"https://www.bbc.co.uk/news/uk-england-nottinghamshire-50464911","News","Nottingham"," nationally in the uptake of childhood vaccinations. Vanessa MacGregor, a consultant, with teenagers and young people who have not had two doses of the MMR vaccination dose should ensure that they take up the offer of MMR vaccination,"" she said"
"30","Sixty pupils hit by flu-like virus at Bristol school",2019-11-19,"https://www.bbc.co.uk/news/uk-england-bristol-50472974","News","Bristol"," respiratory and hand hygiene, the protection offered by the seasonal flu vaccine for those better soon. ""Since the illness was first reported, the school's vaccination session"
"31","BBC Somerset Breakfast: Yeovil Town parade day, Schmallenberg vaccine & Chelsea Flower Show",2013-05-21,"https://www.bbc.co.uk/programmes/p018k9rd","Programmes","BBC Somerset","Ben McGrail sits in & looks ahead to Yeovil Town's parade after their play-off final win. Also: a new Schmallenberg virus & news from the Chelsea Flower Show."
"32","Newshour: Malaria vaccine rolled out in Kenya",2019-09-13,"https://www.bbc.co.uk/programmes/w172wq4w4gnpfx0","Programmes","BBC World Service","The world's first malaria vaccine is being rolled out in parts of Kenya after to receive the vaccine over the next three years.

Also in the programme: US Democratic"
"33","Emma Britton: Europe and the coalition, vaccine safety and Tony Benn",2011-12-12,"https://www.bbc.co.uk/programmes/p00m0zsl","Programmes","BBC Radio Bristol"," of the flu jab and other vaccines?

Emma Britton takes your calls on the big news"
"34","Emma Britton: 17/08/2016: Food banks, MMR vaccine & Project Zulu",2016-08-17,"https://www.bbc.co.uk/programmes/p0436pmd","Programmes","BBC Radio Bristol","Some parents are turning to food banks to feed their families during the school holidays."
"35","Malaria vaccine in Kenya - a potential game-changer",2019-09-13,"https://www.bbc.co.uk/news/world-49681813","News","Africa","The world's first malaria vaccine is being rolled out in parts of Kenya from to the routine vaccination schedule, and more than 300,000 children are expected to receive the vaccine over the next three years. Malaria kills more than 400,000 people globally"
"36","Science in Action: Aids Vaccine Trial fails",2003-02-28,"https://www.bbc.co.uk/programmes/p03jrtqx","Programmes","BBC World Service","Researchers are disappointed at the failure of a trial vaccine against Aids"
"37","Inside Health: Prescription Charges; Acute Kidney Injury; MMR vaccine; Meningitis in Students",2019-09-24,"https://www.bbc.co.uk/programmes/m0008nxz","Programmes","BBC Radio 4"," immunised.  Could making the vaccine mandatory be the answer? Margaret McCartney"
"38","Emma Britton: 12/10/2016: Police surveillance, flu vaccine for children & playing Scrabble",2016-10-12,"https://www.bbc.co.uk/programmes/p048bys3","Programmes","BBC Radio Bristol","Do Avon & Somerset Police have the ability to listen to your mobile phone conversations?"
"39","Science in Action: Hope for a Leishmaniasis Vaccine",2000-03-16,"https://www.bbc.co.uk/programmes/p03jrsfy","Programmes","BBC World Service","Hope for a vaccine against the parasitic infection leishmaniasis that affects"
"40","Operation Ouch!: Series 8: What Are Vaccinations For?",2019-10-09,"https://www.bbc.co.uk/programmes/m0009882","Programmes","CBBC","Find out why Dr Chris is giving Dr Xand a vaccination in the lab, and why getting vaccinated yourself can help protect your whole community.

Get ready to meet"
"41","No-deal Brexit: Flu vaccine delays 'likely'",2019-08-29,"https://www.bbc.co.uk/news/business-49487770","News","Health",""" there will be a delay in flu vaccine supply this year. They say the EU departure date coincides with the winter season in a way that creates ""a perfect storm for the NHS"". Major flu vaccine manufacturer Sanofi said delays in deciding what strains of flu to use in the vaccine mean"
"42","Claire Carter: A possible new vaccine for TB, Theresa May will be PM, and Aldi comes to Taunton",2016-07-13,"https://www.bbc.co.uk/programmes/p03znh3r","Programmes","BBC Somerset","A look at research being done in Bath for a new way to vaccinate against TB."
"43","Pinterest to direct vaccine searches to health sites",2019-08-29,"https://www.bbc.co.uk/news/business-49506011","News","Business","Pinterest users searching for vaccine-related information will be directed showing results for vaccine searches to tackle the spread of misinformation. Social to address vaccine misinformation. Under the new policy, Pinterest said searches"
"44","Polio in Nigeria: 'I opposed vaccinations until my son caught polio'",2019-11-13,"https://www.bbc.co.uk/news/world-africa-50266547","News","Africa"," but now campaigns for vaccines after his son contracted polio. His eight-year-old son vaccination, lending his voice and presence to local health workers who face stiff resistance from people against vaccines - or anti-vaxxers - in his community. ""I have"
"45","Science in Action: How close is a Bird Flu Vaccine?",2006-01-05,"https://www.bbc.co.uk/programmes/p03jrvg3","Programmes","BBC World Service"," vaccine for bird flu? Should some of the larger objects discovered at the edge"
"46","Science in Action: Looking for an Aids vaccine in Africa",2000-02-09,"https://www.bbc.co.uk/programmes/p03jrsds","Programmes","BBC World Service"," development of vaccine. The Indian Space Research Organisation's record of successful"
"47","Science in Action: Hopes for a new Type of Vaccine",2007-01-25,"https://www.bbc.co.uk/programmes/p03jrvr6","Programmes","BBC World Service","A radically new type of vaccine being developed for HIV/Aids, malaria to older vaccines. Prehistoric megafauna bones found in a cave under the Nullarbor"
"48","Science in Action: Will a new DNA Vaccine combat Malaria?",1998-10-16,"https://www.bbc.co.uk/programmes/p03jrrpk","Programmes","BBC World Service"," deaths per year. The US Naval Medical Institute is testing a new 'DNA vaccine' made"
"49","Science in Action: Search for an HIV vaccine gets a Boost",1998-11-27,"https://www.bbc.co.uk/programmes/p03jrrrk","Programmes","BBC World Service","Seth Berkley of International Aids Vaccine Intitiative (IAVI) announces"
"50","Call for HPV vaccine to be offered to older boys",2019-09-02,"https://www.bbc.co.uk/news/health-49522669","News","Health","The Teenage Cancer Trust wants the HPV vaccine programme to be extended will be offered it too. The government said that vaccinating older boys would only have and Wales will be offered the vaccine in secondary schools, along with boys aged 11"
